heap_len	heap_nanos	heap_iterations	heap_clones	heap_mc_len	heap_mc_nanos	heap_mc_iterations	heap_mc_clones	heap_circuit	heap_mc_circuit	
39630.578979	644088300	49397	49395	39630.578979	25514000	848	495	[{"x":153.96817114031415,"y":8513.775082109798},{"x":853.2219337772063,"y":4270.499988977507},{"x":1600.8681859299725,"y":3793.398127694213},{"x":1271.1975384838001,"y":2856.1317952034246},{"x":2539.2422000285214,"y":3290.2705740498595},{"x":6125.7774566853,"y":3060.5867239427002},{"x":6073.5602879463595,"y":138.80204973726137},{"x":7975.331019831001,"y":1875.3156407858269},{"x":9473.529974142664,"y":1979.1031634534334},{"x":7324.306475726682,"y":3978.638078878127},{"x":9224.397936943873,"y":5867.015373003247},{"x":9087.698140082837,"y":6387.970018651863},{"x":7647.887358454051,"y":9255.98240960566},{"x":4473.237055418052,"y":6206.277175039072},{"x":2967.8240823644082,"y":5395.134460317302},{"x":2948.774834480679,"y":6605.98483082084},{"x":2511.643647058033,"y":8370.494508948474},{"x":2632.8041922680845,"y":8865.162973667746}]	[{"x":153.96817114031415,"y":8513.775082109798},{"x":853.2219337772063,"y":4270.499988977507},{"x":1600.8681859299725,"y":3793.398127694213},{"x":1271.1975384838001,"y":2856.1317952034246},{"x":2539.2422000285214,"y":3290.2705740498595},{"x":6125.7774566853,"y":3060.5867239427002},{"x":6073.5602879463595,"y":138.80204973726137},{"x":7975.331019831001,"y":1875.3156407858269},{"x":9473.529974142664,"y":1979.1031634534334},{"x":7324.306475726682,"y":3978.638078878127},{"x":9224.397936943873,"y":5867.015373003247},{"x":9087.698140082837,"y":6387.970018651863},{"x":7647.887358454051,"y":9255.98240960566},{"x":4473.237055418052,"y":6206.277175039072},{"x":2967.8240823644082,"y":5395.134460317302},{"x":2948.774834480679,"y":6605.98483082084},{"x":2511.643647058033,"y":8370.494508948474},{"x":2632.8041922680845,"y":8865.162973667746}]	
38803.471118	3282784400	195565	195548	38803.471118	19007600	524	346	[{"x":8834.353074366538,"y":9725.405007018853},{"x":6430.4844200525395,"y":6928.075931941544},{"x":4912.013353873476,"y":7389.576806377716},{"x":4416.465251098942,"y":7424.039967585313},{"x":1905.1542474419825,"y":8548.103619120326},{"x":2135.42232024229,"y":7500.478108556446},{"x":118.24635754364245,"y":2886.7337991895442},{"x":2017.6785581187137,"y":1969.6375320263294},{"x":3078.4098713859103,"y":803.7490845561412},{"x":3141.74325551637,"y":1273.6701467707878},{"x":5371.377303413891,"y":3559.533449001671},{"x":6223.9231751642155,"y":2506.7946592977946},{"x":8998.430742735722,"y":1195.6714454946684},{"x":8284.331242452168,"y":2740.3929528800463},{"x":9795.507424552232,"y":4186.360898591177},{"x":6643.646787565828,"y":4978.736806711136},{"x":7208.641059391884,"y":6352.943859257749},{"x":7162.930788842025,"y":7137.664239144314}]	[{"x":8834.353074366538,"y":9725.405007018853},{"x":6430.4844200525395,"y":6928.075931941544},{"x":4912.013353873476,"y":7389.576806377716},{"x":4416.465251098942,"y":7424.039967585313},{"x":1905.1542474419825,"y":8548.103619120326},{"x":2135.42232024229,"y":7500.478108556446},{"x":118.24635754364245,"y":2886.7337991895442},{"x":2017.6785581187137,"y":1969.6375320263294},{"x":3078.4098713859103,"y":803.7490845561412},{"x":3141.74325551637,"y":1273.6701467707878},{"x":5371.377303413891,"y":3559.533449001671},{"x":6223.9231751642155,"y":2506.7946592977946},{"x":8998.430742735722,"y":1195.6714454946684},{"x":8284.331242452168,"y":2740.3929528800463},{"x":9795.507424552232,"y":4186.360898591177},{"x":6643.646787565828,"y":4978.736806711136},{"x":7208.641059391884,"y":6352.943859257749},{"x":7162.930788842025,"y":7137.664239144314}]	
38245.979502	123738700	11533	11532	38245.979502	4000800	85	67	[{"x":763.298386158514,"y":9289.780891378507},{"x":748.8641805625726,"y":2002.0253113413216},{"x":913.229524656805,"y":1035.0757465704914},{"x":2698.668042170992,"y":214.50591396846653},{"x":3916.3384776085154,"y":1144.8717546713438},{"x":4696.355032727962,"y":535.0022081462486},{"x":5186.690282396235,"y":909.0627837169789},{"x":6233.534009549927,"y":209.45734663251844},{"x":7900.766097861424,"y":3890.251732064696},{"x":5770.457857699684,"y":5018.344908550033},{"x":6900.763684771698,"y":6136.346919397265},{"x":9993.459395619968,"y":6739.862127859955},{"x":9325.620939240926,"y":8784.46504734174},{"x":9038.867046398878,"y":9510.091558619451},{"x":6597.685442668471,"y":8763.083379507343},{"x":5154.089620836911,"y":8396.292581044174},{"x":5148.413461903428,"y":9392.876379145577},{"x":2919.054485797613,"y":8960.308138447035}]	[{"x":763.298386158514,"y":9289.780891378507},{"x":748.8641805625726,"y":2002.0253113413216},{"x":913.229524656805,"y":1035.0757465704914},{"x":2698.668042170992,"y":214.50591396846653},{"x":3916.3384776085154,"y":1144.8717546713438},{"x":4696.355032727962,"y":535.0022081462486},{"x":5186.690282396235,"y":909.0627837169789},{"x":6233.534009549927,"y":209.45734663251844},{"x":7900.766097861424,"y":3890.251732064696},{"x":5770.457857699684,"y":5018.344908550033},{"x":6900.763684771698,"y":6136.346919397265},{"x":9993.459395619968,"y":6739.862127859955},{"x":9325.620939240926,"y":8784.46504734174},{"x":9038.867046398878,"y":9510.091558619451},{"x":6597.685442668471,"y":8763.083379507343},{"x":5154.089620836911,"y":8396.292581044174},{"x":5148.413461903428,"y":9392.876379145577},{"x":2919.054485797613,"y":8960.308138447035}]	
37779.969632	138438700	12619	12618	37779.969632	6002100	154	102	[{"x":9880.73496070182,"y":431.807504201361},{"x":9774.143297929335,"y":2103.957211431463},{"x":9548.409553535299,"y":5102.546326072957},{"x":8698.898048328809,"y":7793.243730050567},{"x":7349.238695203672,"y":6082.406145385938},{"x":6676.5833997167465,"y":5995.90099736509},{"x":7005.173668125258,"y":6759.099956624805},{"x":3404.54471264502,"y":9697.381456278088},{"x":1988.659299568905,"y":9103.178288299589},{"x":1504.2022138587981,"y":9588.190682037342},{"x":515.4152345299024,"y":6099.976759306457},{"x":932.3130914584802,"y":3347.7620281360228},{"x":3412.458954583512,"y":3459.4753223789357},{"x":4593.649485725996,"y":2777.99573228333},{"x":6025.950282587962,"y":4780.663411025548},{"x":5964.640747526557,"y":3807.3394997276137},{"x":6909.602664292108,"y":2100.788964484103},{"x":6679.60634516597,"y":1409.9078025643532}]	[{"x":9880.73496070182,"y":431.807504201361},{"x":9774.143297929335,"y":2103.957211431463},{"x":9548.409553535299,"y":5102.546326072957},{"x":8698.898048328809,"y":7793.243730050567},{"x":7349.238695203672,"y":6082.406145385938},{"x":6676.5833997167465,"y":5995.90099736509},{"x":7005.173668125258,"y":6759.099956624805},{"x":3404.54471264502,"y":9697.381456278088},{"x":1988.659299568905,"y":9103.178288299589},{"x":1504.2022138587981,"y":9588.190682037342},{"x":515.4152345299024,"y":6099.976759306457},{"x":932.3130914584802,"y":3347.7620281360228},{"x":3412.458954583512,"y":3459.4753223789357},{"x":4593.649485725996,"y":2777.99573228333},{"x":6025.950282587962,"y":4780.663411025548},{"x":5964.640747526557,"y":3807.3394997276137},{"x":6909.602664292108,"y":2100.788964484103},{"x":6679.60634516597,"y":1409.9078025643532}]	
39196.326573	705579000	54468	54467	39196.326573	21008000	664	359	[{"x":9082.091986100122,"y":953.780081147924},{"x":9797.260428362633,"y":3203.851541806066},{"x":7880.782729608473,"y":7440.375536404968},{"x":6813.683662399566,"y":8717.366949839321},{"x":6193.677671513285,"y":6689.520849213284},{"x":4909.621835728706,"y":6105.855235037457},{"x":4397.708160012832,"y":6274.37595267082},{"x":3378.279018198535,"y":5719.066110887818},{"x":825.2216456170015,"y":9801.620936510051},{"x":750.2182822898035,"y":9920.018585922255},{"x":724.2948600091393,"y":9395.235654461188},{"x":875.7051091053758,"y":8394.053053817503},{"x":247.5958938763159,"y":6566.571946307767},{"x":1426.873957543369,"y":4726.1010737796405},{"x":472.71801535249966,"y":2517.4896812086877},{"x":5074.423010147871,"y":921.4211539170483},{"x":5880.355252013337,"y":3779.155807208456},{"x":8526.455517468072,"y":2167.811161271922}]	[{"x":9082.091986100122,"y":953.780081147924},{"x":9797.260428362633,"y":3203.851541806066},{"x":7880.782729608473,"y":7440.375536404968},{"x":6813.683662399566,"y":8717.366949839321},{"x":6193.677671513285,"y":6689.520849213284},{"x":4909.621835728706,"y":6105.855235037457},{"x":4397.708160012832,"y":6274.37595267082},{"x":3378.279018198535,"y":5719.066110887818},{"x":825.2216456170015,"y":9801.620936510051},{"x":750.2182822898035,"y":9920.018585922255},{"x":724.2948600091393,"y":9395.235654461188},{"x":875.7051091053758,"y":8394.053053817503},{"x":247.5958938763159,"y":6566.571946307767},{"x":1426.873957543369,"y":4726.1010737796405},{"x":472.71801535249966,"y":2517.4896812086877},{"x":5074.423010147871,"y":921.4211539170483},{"x":5880.355252013337,"y":3779.155807208456},{"x":8526.455517468072,"y":2167.811161271922}]	
36749.499190	1024250600	76389	76388	36749.499190	11002500	421	229	[{"x":1235.4889615855268,"y":9459.653654339198},{"x":4569.875001375278,"y":4496.012589733718},{"x":3777.642464425735,"y":3876.2600393228736},{"x":2957.146528033753,"y":2693.0526309614233},{"x":2866.4225088745316,"y":2439.304129631998},{"x":1766.610972266249,"y":1302.4871060815037},{"x":1703.636027725006,"y":57.121495976902494},{"x":5457.34417158209,"y":2561.7002999278784},{"x":5765.719507247922,"y":2880.23027849004},{"x":5800.7532247192385,"y":3712.7887592277702},{"x":8057.089820558051,"y":3380.0863650273686},{"x":8407.054261366127,"y":1605.0231274074372},{"x":9885.465924792,"y":3620.8038261975084},{"x":8062.695469002484,"y":7554.6146735032235},{"x":7821.902436799302,"y":8153.980892170541},{"x":6440.068732076009,"y":8597.660922999608},{"x":5625.227357776979,"y":7321.980700500338},{"x":1613.1504975379903,"y":9399.403082589315}]	[{"x":1235.4889615855268,"y":9459.653654339198},{"x":4569.875001375278,"y":4496.012589733718},{"x":3777.642464425735,"y":3876.2600393228736},{"x":2957.146528033753,"y":2693.0526309614233},{"x":2866.4225088745316,"y":2439.304129631998},{"x":1766.610972266249,"y":1302.4871060815037},{"x":1703.636027725006,"y":57.121495976902494},{"x":5457.34417158209,"y":2561.7002999278784},{"x":5765.719507247922,"y":2880.23027849004},{"x":5800.7532247192385,"y":3712.7887592277702},{"x":8057.089820558051,"y":3380.0863650273686},{"x":8407.054261366127,"y":1605.0231274074372},{"x":9885.465924792,"y":3620.8038261975084},{"x":8062.695469002484,"y":7554.6146735032235},{"x":7821.902436799302,"y":8153.980892170541},{"x":6440.068732076009,"y":8597.660922999608},{"x":5625.227357776979,"y":7321.980700500338},{"x":1613.1504975379903,"y":9399.403082589315}]	
37432.235275	773630700	58286	58285	37432.235275	4054900	79	58	[{"x":9848.717873654552,"y":2011.0621496242304},{"x":7645.333327645909,"y":5248.4066469979125},{"x":7042.813159184491,"y":5433.967927468274},{"x":8227.302905793258,"y":5957.670024066869},{"x":9881.02879997854,"y":8980.416728552944},{"x":6327.843452646815,"y":7500.396993895826},{"x":5818.725574785123,"y":8668.148242237592},{"x":4867.598111169472,"y":9606.335932351518},{"x":4235.024168731654,"y":8931.83274970498},{"x":3645.342830551638,"y":9971.150160594692},{"x":2080.146997979974,"y":9187.2809969454},{"x":2416.8959388606663,"y":6810.665795230539},{"x":3770.9185230236135,"y":6194.781557915244},{"x":1160.468643294347,"y":5014.482942775692},{"x":702.7486906899785,"y":3704.417334285927},{"x":3801.208501729285,"y":3739.3693254428917},{"x":6672.103077670055,"y":1933.9988534597471},{"x":8208.72602659669,"y":1859.2771581067188}]	[{"x":9848.717873654552,"y":2011.0621496242304},{"x":7645.333327645909,"y":5248.4066469979125},{"x":7042.813159184491,"y":5433.967927468274},{"x":8227.302905793258,"y":5957.670024066869},{"x":9881.02879997854,"y":8980.416728552944},{"x":6327.843452646815,"y":7500.396993895826},{"x":5818.725574785123,"y":8668.148242237592},{"x":4867.598111169472,"y":9606.335932351518},{"x":4235.024168731654,"y":8931.83274970498},{"x":3645.342830551638,"y":9971.150160594692},{"x":2080.146997979974,"y":9187.2809969454},{"x":2416.8959388606663,"y":6810.665795230539},{"x":3770.9185230236135,"y":6194.781557915244},{"x":1160.468643294347,"y":5014.482942775692},{"x":702.7486906899785,"y":3704.417334285927},{"x":3801.208501729285,"y":3739.3693254428917},{"x":6672.103077670055,"y":1933.9988534597471},{"x":8208.72602659669,"y":1859.2771581067188}]	
40322.265554	698941300	54797	54796	40322.265554	7524800	233	145	[{"x":9747.783860508423,"y":1159.4191905837538},{"x":7850.144581844016,"y":4485.628607834199},{"x":6228.477663466211,"y":4788.335445582275},{"x":7731.693644429086,"y":8725.439518679623},{"x":6481.044517057931,"y":8006.462251256622},{"x":4033.435490228815,"y":7644.019855145036},{"x":1095.9540510716372,"y":9069.617493399148},{"x":515.8686124723314,"y":8911.828557710303},{"x":169.59509835377094,"y":8008.260666775114},{"x":1338.901787553426,"y":5188.319612025888},{"x":235.14139739617812,"y":4393.85406667871},{"x":684.9129736571838,"y":1940.3926146695244},{"x":1836.719052071173,"y":4303.294707321813},{"x":4339.945775603874,"y":5021.602492066456},{"x":4670.902012577223,"y":4389.486250135143},{"x":5818.071134444418,"y":2242.325007933091},{"x":5661.68239367573,"y":645.5441634508936},{"x":7050.58408951882,"y":2209.155488884398}]	[{"x":9747.783860508423,"y":1159.4191905837538},{"x":7850.144581844016,"y":4485.628607834199},{"x":6228.477663466211,"y":4788.335445582275},{"x":7731.693644429086,"y":8725.439518679623},{"x":6481.044517057931,"y":8006.462251256622},{"x":4033.435490228815,"y":7644.019855145036},{"x":1095.9540510716372,"y":9069.617493399148},{"x":515.8686124723314,"y":8911.828557710303},{"x":169.59509835377094,"y":8008.260666775114},{"x":1338.901787553426,"y":5188.319612025888},{"x":235.14139739617812,"y":4393.85406667871},{"x":684.9129736571838,"y":1940.3926146695244},{"x":1836.719052071173,"y":4303.294707321813},{"x":4339.945775603874,"y":5021.602492066456},{"x":4670.902012577223,"y":4389.486250135143},{"x":5818.071134444418,"y":2242.325007933091},{"x":5661.68239367573,"y":645.5441634508936},{"x":7050.58408951882,"y":2209.155488884398}]	
33041.973131	177847300	15706	15705	33041.973131	999800	42	15	[{"x":1948.4119683360695,"y":934.4009844852318},{"x":5663.514730770803,"y":1751.0745431109983},{"x":4937.507758867289,"y":3590.9396686636187},{"x":6012.987296028176,"y":3843.9690299893014},{"x":7030.8256369398905,"y":5674.997525595807},{"x":7671.189520031598,"y":6690.336553747031},{"x":9329.619200428193,"y":7651.831633227185},{"x":8414.446262265945,"y":8232.103813954443},{"x":7512.042977427393,"y":7218.484367630307},{"x":5665.332032983384,"y":7586.548651288682},{"x":3981.751060712636,"y":6707.136446682232},{"x":3514.0840345472857,"y":8143.651913903301},{"x":3497.5361531183466,"y":8434.671409135986},{"x":3242.322416469361,"y":9400.503291097462},{"x":2103.6230627734703,"y":9323.947807257151},{"x":677.7786393236872,"y":9702.842767197044},{"x":702.6989459523826,"y":7288.832986227858},{"x":653.2146040980689,"y":2240.6278819394274}]	[{"x":1948.4119683360695,"y":934.4009844852318},{"x":5663.514730770803,"y":1751.0745431109983},{"x":4937.507758867289,"y":3590.9396686636187},{"x":6012.987296028176,"y":3843.9690299893014},{"x":7030.8256369398905,"y":5674.997525595807},{"x":7671.189520031598,"y":6690.336553747031},{"x":9329.619200428193,"y":7651.831633227185},{"x":8414.446262265945,"y":8232.103813954443},{"x":7512.042977427393,"y":7218.484367630307},{"x":5665.332032983384,"y":7586.548651288682},{"x":3981.751060712636,"y":6707.136446682232},{"x":3514.0840345472857,"y":8143.651913903301},{"x":3497.5361531183466,"y":8434.671409135986},{"x":3242.322416469361,"y":9400.503291097462},{"x":2103.6230627734703,"y":9323.947807257151},{"x":677.7786393236872,"y":9702.842767197044},{"x":702.6989459523826,"y":7288.832986227858},{"x":653.2146040980689,"y":2240.6278819394274}]	
34201.536814	15006700	1907	1906	34201.536814	1000500	47	33	[{"x":8779.099785030508,"y":9086.453863332428},{"x":3031.385520827343,"y":9939.422248897146},{"x":2430.8650921706926,"y":9940.794216258693},{"x":1404.630058971281,"y":9350.361050601354},{"x":2001.9021022366583,"y":8035.656350042273},{"x":11.044509636220045,"y":7088.52398336402},{"x":240.2387120505797,"y":6171.161455029579},{"x":2272.361110828041,"y":2904.085614972247},{"x":3233.7042594826876,"y":3114.128929302714},{"x":4179.819933018618,"y":3141.8050343463283},{"x":4614.720267258889,"y":761.9910440460573},{"x":5773.137182612693,"y":1407.4552586701786},{"x":6188.350586846458,"y":2884.6282980108317},{"x":4964.221830468278,"y":4377.233227728706},{"x":5295.150304995168,"y":6792.636990629481},{"x":8769.10875517275,"y":6230.766497415774},{"x":8539.083941865178,"y":6951.0745207737455},{"x":9045.231206573282,"y":7733.465810303361}]	[{"x":8779.099785030508,"y":9086.453863332428},{"x":3031.385520827343,"y":9939.422248897146},{"x":2430.8650921706926,"y":9940.794216258693},{"x":1404.630058971281,"y":9350.361050601354},{"x":2001.9021022366583,"y":8035.656350042273},{"x":11.044509636220045,"y":7088.52398336402},{"x":240.2387120505797,"y":6171.161455029579},{"x":2272.361110828041,"y":2904.085614972247},{"x":3233.7042594826876,"y":3114.128929302714},{"x":4179.819933018618,"y":3141.8050343463283},{"x":4614.720267258889,"y":761.9910440460573},{"x":5773.137182612693,"y":1407.4552586701786},{"x":6188.350586846458,"y":2884.6282980108317},{"x":4964.221830468278,"y":4377.233227728706},{"x":5295.150304995168,"y":6792.636990629481},{"x":8769.10875517275,"y":6230.766497415774},{"x":8539.083941865178,"y":6951.0745207737455},{"x":9045.231206573282,"y":7733.465810303361}]	
