heap_len	heap_nanos  heap_mc_len	heap_mc_len_percent	heap_mc_nanos	heap_mc_circuit	
38581.926337	4544425100	38581.926337	1.000000	9999000	[{"x":1128.7449410785625,"y":9867.043017028545},{"x":2503.0162290363337,"y":7129.32453286508},{"x":3900.062397902874,"y":5558.2888551456745},{"x":1622.8903660368712,"y":5811.120015690429},{"x":778.9264100460863,"y":5912.361235362362},{"x":362.59240749917586,"y":4754.259051837546},{"x":2257.9306097729313,"y":3422.7193368058597},{"x":1297.9259593088186,"y":711.0781424154923},{"x":2293.190363419159,"y":1261.3947885632456},{"x":3411.8143611386913,"y":1173.0587718242557},{"x":8195.828328471966,"y":585.9132521990923},{"x":7883.8261853887725,"y":1253.480527236036},{"x":7835.908819560117,"y":1866.3915739366987},{"x":7475.751775275376,"y":3303.578568588473},{"x":6330.0790096184255,"y":3972.5218114377226},{"x":8620.170206756447,"y":7517.252878483991},{"x":7526.470467073617,"y":8870.02573983652},{"x":3237.8662685820836,"y":8800.584157896272}]
38401.360119	54002500	38401.360119	1.000000	1000100	[{"x":255.30024428626263,"y":2593.1560463706187},{"x":1929.0421604514895,"y":891.4684958655944},{"x":3529.25855587396,"y":137.98101225334057},{"x":4420.89295100159,"y":3341.1079833169906},{"x":4787.602774565259,"y":3348.083874221746},{"x":5897.458228974591,"y":2899.888349605494},{"x":8945.23183084579,"y":2016.1754272879066},{"x":9327.718666394221,"y":1768.3018202382466},{"x":8860.845967712183,"y":4768.591221825768},{"x":9500.093323794652,"y":5296.384744610065},{"x":9028.695430272406,"y":7919.933057380412},{"x":8362.22645941343,"y":9253.27638931998},{"x":6349.166694450451,"y":7683.598079495204},{"x":6258.848475362285,"y":5987.2156906582095},{"x":4236.693592178129,"y":6634.2194659698025},{"x":2619.8184414662596,"y":9699.830435268057},{"x":1643.8193824421044,"y":8224.165670344712},{"x":2100.793626528094,"y":6636.106024764238}]
35897.142775	1218615900	35897.142775	1.000000	1999900	[{"x":1215.2716710715672,"y":857.366476673524},{"x":5471.4154136643365,"y":1800.6174756263308},{"x":6218.128374929895,"y":1368.363752747746},{"x":8496.068019734443,"y":852.0580042258408},{"x":9762.230517476153,"y":2241.261065420763},{"x":6712.744226086926,"y":4043.122131223922},{"x":6320.657851239104,"y":5935.148532188546},{"x":7801.19209428148,"y":6694.547890273778},{"x":8924.582731493083,"y":8288.172773303499},{"x":6646.481069045477,"y":8502.92845344368},{"x":5710.383310568526,"y":8611.973209393838},{"x":4777.861864895147,"y":9055.872080726265},{"x":3052.1034860500495,"y":8729.326418829618},{"x":5212.033064095056,"y":7454.921175818367},{"x":4559.646156677464,"y":6494.92998504744},{"x":4627.362994688105,"y":5412.130275270744},{"x":4909.598976098838,"y":3314.7127297132793},{"x":2620.0984186604774,"y":2168.4685645148534}]
33506.346136	83018900	33506.346136	1.000000	4000600	[{"x":4786.223985069306,"y":9706.905611387749},{"x":2502.3617457286296,"y":6403.059208070536},{"x":4146.468257815928,"y":2280.267434139982},{"x":4458.326415115697,"y":1627.9961807882635},{"x":5399.3334260588235,"y":2200.9177429106717},{"x":6152.191589272425,"y":200.54597087578748},{"x":6722.371252878021,"y":44.522686894207474},{"x":7230.22976455478,"y":926.2120909480102},{"x":9857.485918951616,"y":511.5738524845033},{"x":9784.33887915384,"y":2049.2669124425747},{"x":9301.601828999717,"y":1743.988222484259},{"x":7555.266003136906,"y":2757.278494026476},{"x":7464.873545274003,"y":4131.028118854485},{"x":7389.912625102433,"y":5505.2957375483265},{"x":9485.942421697942,"y":7575.9023740736675},{"x":9678.415133462508,"y":7920.6962238942315},{"x":8194.686589923518,"y":8801.648288788552},{"x":7082.455490368517,"y":7517.491600044418}]
34951.248130	130030000	34951.248130	1.000000	9002200	[{"x":96.60464846562843,"y":2749.280309510343},{"x":1323.619430905523,"y":1368.8196788992047},{"x":3838.967713921407,"y":2626.804429256322},{"x":3926.433878810246,"y":2845.941345074779},{"x":4958.652467605806,"y":2838.3626961744653},{"x":6291.980584324937,"y":2752.9063789071784},{"x":7398.5856803343595,"y":1034.0420049741624},{"x":7094.824397069921,"y":726.9578678903266},{"x":7688.428294669294,"y":255.89960146973522},{"x":8706.939446372431,"y":1629.7907999464155},{"x":9684.323023900855,"y":6421.491052368271},{"x":8306.44445639381,"y":8553.93385254943},{"x":7934.558922579233,"y":7732.334257771489},{"x":5859.513822204818,"y":6616.096695901521},{"x":5081.454990694332,"y":9235.704462280162},{"x":4912.465381574028,"y":9496.535387508797},{"x":4194.395758139205,"y":9711.862067967904},{"x":2376.897742479551,"y":8165.2652813712275}]
33433.379119	1162260300	33433.379119	1.000000	3000200	[{"x":228.03125663900965,"y":3197.724989681842},{"x":1179.0608255456127,"y":2546.8907048104024},{"x":3374.1366817398625,"y":4012.9968595753708},{"x":4871.912048074459,"y":4212.348632867315},{"x":5430.447904759919,"y":1744.0938525812755},{"x":5926.713577556484,"y":2062.5795551835076},{"x":6875.5317748364805,"y":1958.1730664576162},{"x":9272.78719817195,"y":1594.7149479545571},{"x":9177.718805898983,"y":2136.241591204461},{"x":6824.6133123601685,"y":6041.453196711019},{"x":7034.671552559726,"y":6217.470190414294},{"x":8327.858618424205,"y":7064.0320031763285},{"x":8013.72356195289,"y":9204.086087017777},{"x":6926.86979462396,"y":7904.600682922719},{"x":5726.5026580872045,"y":6563.9074380725415},{"x":3919.5991134198653,"y":6169.047887381415},{"x":2400.791343375995,"y":7177.820695976108},{"x":505.29894678722974,"y":6567.492481507943}]
35707.308827	74567600	35707.308827	1.000000	1999600	[{"x":9562.996359052897,"y":901.6950648718282},{"x":7543.326450895367,"y":3369.8381337181863},{"x":9416.525402990574,"y":4191.346568522392},{"x":8523.080581333756,"y":6235.238181180845},{"x":7930.237841420021,"y":6747.878268359997},{"x":3516.689698103592,"y":7459.679157002338},{"x":2219.1299285693117,"y":7494.561832761805},{"x":1310.0471866517864,"y":7093.731645211474},{"x":3604.8602061024203,"y":5456.741366839877},{"x":2742.65142980956,"y":4661.2008399171245},{"x":3423.834127733335,"y":3592.280372795093},{"x":1624.7747648382613,"y":3998.9051776974416},{"x":889.7481401910587,"y":4308.594518162429},{"x":198.05776111896674,"y":2813.4251409910516},{"x":1201.2597061634108,"y":1356.2742148694301},{"x":2878.341782292985,"y":2101.737545645917},{"x":4191.001585538007,"y":1022.161413914783},{"x":8711.724626990926,"y":33.73735480523634}]
38858.523728	875740800	38858.523728	1.000000	1000300	[{"x":9506.983158223897,"y":9129.788717445721},{"x":8286.286169043107,"y":9066.079981482444},{"x":5493.725546583423,"y":9108.337185434895},{"x":3215.117429991816,"y":7890.853493099621},{"x":2271.0881116713554,"y":7483.449327963488},{"x":628.5576245502788,"y":9203.02876126725},{"x":363.9657001537764,"y":8960.0143381701},{"x":686.7799685646798,"y":6291.028230222768},{"x":2812.9112442231826,"y":5744.4146374715265},{"x":1260.921891401095,"y":744.676692240824},{"x":3289.537415937582,"y":92.0530162723166},{"x":5868.515006552989,"y":289.4941392222651},{"x":4082.1541405957223,"y":2723.004473807812},{"x":4878.6777792963085,"y":2825.2708018988287},{"x":5804.413288315635,"y":3359.4800953895574},{"x":5101.882913462929,"y":6324.513282336742},{"x":6113.6221336426015,"y":7120.930311500722},{"x":9173.38600657454,"y":7898.533778070095}]
30712.747727	1111546500	30712.747727	1.000000	1000000	[{"x":9916.53248095124,"y":7156.624583170348},{"x":9364.232472767522,"y":6858.776049159154},{"x":7322.396283093625,"y":4927.654521277266},{"x":6928.322493262736,"y":5362.923752322759},{"x":5243.8870153622665,"y":5015.784136893756},{"x":3949.737222678544,"y":3709.631668194223},{"x":2761.176030421341,"y":4051.978341687583},{"x":2538.541216882355,"y":4793.875841833392},{"x":2547.568949904257,"y":5744.282757846689},{"x":811.3446734995513,"y":3882.685646691612},{"x":1652.3123163775927,"y":2482.727463303368},{"x":2361.757344491876,"y":2616.7278284213703},{"x":2621.949983077584,"y":2003.3999220344617},{"x":2382.295889479295,"y":265.7807030529527},{"x":4436.307028938152,"y":1782.2244923780484},{"x":7699.014265398856,"y":726.6113950673224},{"x":8589.125995092398,"y":2728.8873046927397},{"x":8519.203887597694,"y":3205.497018208329}]
36498.398985	323074100	36498.398985	1.000000	1999600	[{"x":9557.787045052148,"y":2075.125374817536},{"x":8927.806638277794,"y":6991.446122140585},{"x":7584.438536723535,"y":9675.040524918866},{"x":5762.207217875359,"y":8734.43029250622},{"x":3797.204938529432,"y":9073.502844748173},{"x":3223.539140391033,"y":8910.84376212812},{"x":2379.391375648187,"y":7627.2807654888975},{"x":1181.8508526360238,"y":8658.489390937839},{"x":595.2337527179369,"y":9110.879110316127},{"x":598.4600326007412,"y":5754.396700309122},{"x":2433.3367226844734,"y":2471.993786688666},{"x":1152.058929806678,"y":1180.519535869753},{"x":3194.0248161290538,"y":163.73227371242442},{"x":3388.989057077759,"y":1970.469061303068},{"x":4783.549572562331,"y":2337.4754213760384},{"x":5385.441835069313,"y":1192.446651462192},{"x":8194.039050422645,"y":1809.6545825119583},{"x":8724.783404721777,"y":1842.2825607326827}]
