num_vertices	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	
100	82611.564117	1.000000	25189300	83001.725294	0.995299	0	82611.564117	1.000000	2512200	88881.749085	0.929455	5001200	
100	83470.421890	1.000000	31006800	83470.421890	1.000000	0	83470.421890	1.000000	5001000	86432.729981	0.965727	3991800	
100	77527.968600	1.000000	20995100	77527.968600	1.000000	1000700	77527.968600	1.000000	2009400	81957.927500	0.945948	5001200	
100	86688.455589	1.000000	27006100	87166.644510	0.994514	0	86688.455589	1.000000	3000600	88594.649459	0.978484	4000900	
100	91952.621263	1.000000	24005100	91952.621263	1.000000	0	91952.621263	1.000000	3001000	92838.208340	0.990461	4001000	
100	85037.111835	1.000000	23005000	85037.111835	1.000000	999900	85037.111835	1.000000	3001400	86891.637089	0.978657	4000700	
100	86713.295020	1.000000	23005300	87827.104291	0.987318	999800	86713.295020	1.000000	2000500	91951.625199	0.943032	4000800	
100	90123.642700	1.000000	22995900	90123.642700	1.000000	0	90123.642700	1.000000	3013100	90922.227869	0.991217	2997600	
100	81800.526436	1.000000	24005200	81800.526436	1.000000	0	81800.526436	1.000000	3000700	81997.612049	0.997596	3000700	
100	80841.718325	1.000000	27008600	81410.417776	0.993014	0	80841.718325	1.000000	2998200	85123.356572	0.949701	4000800	
100	80096.376300	1.000000	27009100	81475.865179	0.983069	997300	80096.376300	1.000000	2000200	86179.408100	0.929414	4003700	
100	82097.680739	1.000000	22005700	82097.680739	1.000000	0	82097.680739	1.000000	1999700	83926.715954	0.978207	5001400	
100	81576.058227	1.000000	22004100	81576.058227	1.000000	0	81576.058227	1.000000	2000800	82460.219881	0.989278	4000800	
100	82393.377595	1.000000	24005100	82393.377595	1.000000	1000200	82393.377595	1.000000	3001400	84103.650226	0.979665	3000300	
100	88064.378468	1.000000	23004800	88064.378468	1.000000	0	88064.378468	1.000000	3000700	89869.005497	0.979919	4000900	
100	79184.518731	1.000000	25005100	79184.518731	1.000000	0	79184.518731	1.000000	3000600	81943.014404	0.966336	4001000	
100	84953.963424	1.000000	22005200	84953.963424	1.000000	0	84953.963424	1.000000	2000500	85270.283471	0.996290	4000800	
100	92396.888372	1.000000	26006500	92505.720309	0.998824	0	92396.888372	1.000000	3000300	94079.801544	0.982112	4000900	
100	84966.982763	1.000000	27042900	85030.111981	0.999258	0	84966.982763	1.000000	2964100	87218.391574	0.974187	4001200	
100	77577.224727	1.000000	26005600	77577.224727	1.000000	0	77577.224727	1.000000	3001000	79717.520944	0.973151	3000300	
100	85951.954757	1.000000	34008500	87903.052459	0.977804	0	85951.954757	1.000000	4000400	91374.740985	0.940653	4000900	
100	79906.376970	1.000000	27006600	82316.827126	0.970717	0	79906.376970	1.000000	3000800	85263.117016	0.937174	4000800	
100	85468.849637	1.000000	17003500	85468.849637	1.000000	1000700	85468.849637	1.000000	1999900	89355.500271	0.956504	4001000	
100	87625.002894	1.000000	21004000	87803.024631	0.997972	0	87625.002894	1.000000	2001000	92378.969235	0.948538	4000900	
100	83509.131071	1.000000	41009300	83958.798342	0.994644	0	83509.131071	1.000000	4000400	84520.038331	0.988039	4001100	
100	84704.992287	1.000000	30007500	87397.156122	0.969196	0	84704.992287	1.000000	3001200	89399.307298	0.947490	5000300	
100	90422.046670	1.000000	26005500	90422.046670	1.000000	999700	90422.046670	1.000000	2000700	96416.280394	0.937830	4034800	
100	85243.573073	1.000000	28972500	85243.573073	1.000000	0	85243.573073	1.000000	3000700	85960.122506	0.991664	4001300	
100	84709.354223	1.000000	23004600	84709.354223	1.000000	0	84709.354223	1.000000	2000800	88503.332953	0.957132	4000800	
100	81892.926038	1.000000	22004600	82236.574784	0.995821	1029400	81892.926038	1.000000	1971900	82695.818570	0.990291	4000600	
100	82557.606808	1.000000	28006800	82607.279259	0.999399	0	82557.606808	1.000000	3000100	82813.975107	0.996904	4000900	
100	81730.047431	1.000000	23006300	81850.114427	0.998533	1000400	81730.047431	1.000000	2000800	82202.587249	0.994252	3999300	
100	85753.780267	1.000000	24006200	85870.534180	0.998640	0	85753.780267	1.000000	3000300	92023.206483	0.931871	4000400	
100	83863.601959	1.000000	30007100	83865.466449	0.999978	0	83863.601959	1.000000	3000700	86395.940625	0.970689	4000600	
100	87669.173180	1.000000	29007100	87669.173180	1.000000	0	87669.173180	1.000000	3000500	88608.770107	0.989396	4000900	
100	82341.473938	1.000000	18004400	82341.473938	1.000000	0	82341.473938	1.000000	2000100	85551.692645	0.962476	4000300	
100	83196.805130	1.000000	25005500	84028.245918	0.990105	1000300	83196.805130	1.000000	2001800	85030.821473	0.978431	4000100	
100	79630.358471	1.000000	35007700	79781.369000	0.998107	0	79630.358471	1.000000	4000400	80911.256395	0.984169	3000800	
100	82016.711748	1.000000	23005300	82016.711748	1.000000	0	82016.711748	1.000000	3000900	87353.683617	0.938904	4000600	
100	81776.294010	1.000000	26007200	81776.294010	1.000000	999000	81776.294010	1.000000	2000400	83585.416513	0.978356	4001000	
100	83239.872485	1.000000	25006000	83239.872485	1.000000	0	83239.872485	1.000000	3001400	84159.242440	0.989076	2999800	
100	81035.740669	1.000000	26005600	81556.221532	0.993618	1000500	81035.740669	1.000000	2000800	83064.623353	0.975575	4000500	
100	81734.066976	1.000000	23005100	81734.066976	1.000000	1000500	81734.066976	1.000000	2000700	81277.046557	1.005623	4000200	
100	81886.638264	1.000000	16003600	82100.051706	0.997401	1001100	81886.638264	1.000000	1999600	85428.668822	0.958538	4001600	
100	86731.724578	1.000000	29005700	87355.465668	0.992860	0	86731.724578	1.000000	3000700	91181.180008	0.951202	4001000	
100	88064.740729	1.000000	21004600	88137.707786	0.999172	1000700	88064.740729	1.000000	1999900	92273.873137	0.954384	4001600	
100	82985.869709	1.000000	21031000	83107.378483	0.998538	0	82985.869709	1.000000	2973700	84184.957434	0.985757	4001300	
100	85069.429823	1.000000	25005200	85396.094481	0.996175	0	85069.429823	1.000000	3000600	86050.306830	0.988601	3001300	
100	86252.680662	1.000000	25005200	86252.680662	1.000000	0	86252.680662	1.000000	3001200	88862.296269	0.970633	4001100	
100	86036.500387	1.000000	21003900	86036.500387	1.000000	0	86036.500387	1.000000	2000500	87630.345515	0.981812	4001100	
100	85114.873996	1.000000	32007000	85114.873996	1.000000	0	85114.873996	1.000000	4001200	87236.475077	0.975680	3001000	
100	83101.220371	1.000000	28036400	83471.358312	0.995566	0	83101.220371	1.000000	3970700	84930.157584	0.978465	4001100	
100	84252.936080	1.000000	19003600	84252.936080	1.000000	1000300	84252.936080	1.000000	2000600	84805.327206	0.993486	4001000	
100	80391.103589	1.000000	21006200	80391.103589	1.000000	0	80391.103589	1.000000	2998700	82992.683667	0.968653	4000900	
100	86448.913541	1.000000	22004300	86448.913541	1.000000	0	86448.913541	1.000000	3001100	92662.197122	0.932947	4001200	
100	86119.734636	1.000000	24005000	86119.734636	1.000000	1000100	86119.734636	1.000000	3001100	88537.526558	0.972692	4001400	
100	80230.784668	1.000000	28005600	80230.784668	1.000000	0	80230.784668	1.000000	3001000	82346.464429	0.974308	4001100	
100	84689.341059	1.000000	24005300	84689.341059	1.000000	0	84689.341059	1.000000	3000500	86982.944205	0.973632	4001800	
100	84116.596551	1.000000	24543100	84132.954422	0.999806	0	84116.596551	1.000000	3000700	86199.843017	0.975832	4002000	
100	84516.600580	1.000000	26004800	85404.664478	0.989602	1000600	84516.600580	1.000000	2000300	84546.979985	0.999641	4001000	
