num_vertices	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_len	greedy_perc	greedy_nanos	
100	86643.276428	1.000000	3084400	87318.104484	0.992272	511900	
100	84106.870129	1.000000	2561200	84106.870129	1.000000	511800	
100	89469.790561	1.000000	2602800	90317.546581	0.990614	510700	
100	88524.154166	1.000000	3060700	88524.154166	1.000000	0	
100	80271.848418	1.000000	2820200	80271.848418	1.000000	0	
100	87781.682502	1.000000	3629900	87781.682502	1.000000	511100	
100	85966.882791	1.000000	2553200	85966.882791	1.000000	593200	
100	86176.211843	1.000000	3523400	86176.211843	1.000000	0	
100	85359.902706	1.000000	2001600	85804.657221	0.994817	999900	
100	88907.265609	1.000000	1999400	89904.121519	0.988912	0	
100	89394.132171	1.000000	3511900	89394.132171	1.000000	0	
100	86210.990926	1.000000	2996500	86210.990926	1.000000	1000000	
100	82740.626502	1.000000	2000500	82971.430359	0.997218	1000500	
100	80487.845803	1.000000	2001400	80487.845803	1.000000	999700	
100	81265.672183	1.000000	2210400	81265.672183	1.000000	0	
100	84467.397611	1.000000	3791000	84467.397611	1.000000	0	
100	85054.458989	1.000000	3000600	85054.458989	1.000000	0	
100	87421.402368	1.000000	3000000	87422.704894	0.999985	0	
100	80311.737808	1.000000	3000500	80311.737808	1.000000	0	
100	79696.798323	1.000000	2001700	80120.463376	0.994712	999900	
100	83750.268089	1.000000	2000200	83750.268089	1.000000	1001000	
100	83022.579208	1.000000	2254800	83022.579208	1.000000	995300	
100	82031.667236	1.000000	2000000	82031.667236	1.000000	1000800	
100	82647.806004	1.000000	4000400	82647.806004	1.000000	0	
100	81837.422385	1.000000	3001300	82109.797032	0.996683	0	
100	83245.976370	1.000000	3000400	85158.474113	0.977542	1000100	
100	83329.714671	1.000000	3000400	83515.962974	0.997770	0	
100	81711.383013	1.000000	3000600	81711.383013	1.000000	0	
100	80809.555704	1.000000	2001100	80809.555704	1.000000	0	
100	89411.171429	1.000000	1999800	89411.171429	1.000000	1000800	
100	83438.347837	1.000000	2001400	83438.347837	1.000000	999700	
100	89223.656646	1.000000	2000000	89223.656646	1.000000	1000700	
100	84228.853513	1.000000	2003900	84228.853513	1.000000	1000300	
100	83556.236678	1.000000	2000300	83732.161888	0.997899	0	
100	82898.302498	1.000000	2000400	83760.476547	0.989707	1000200	
100	84958.346256	1.000000	2000700	84958.346256	1.000000	1001000	
100	84779.803892	1.000000	3104400	84779.803892	1.000000	0	
100	81199.252132	1.000000	2823900	81199.252132	1.000000	0	
100	83051.918803	1.000000	2000000	83051.918803	1.000000	0	
100	86474.616009	1.000000	3000500	86474.616009	1.000000	0	
100	83528.018039	1.000000	4001200	84020.609674	0.994137	0	
100	85851.701459	1.000000	3001200	85851.701459	1.000000	0	
100	80992.512986	1.000000	3000300	80992.512986	1.000000	0	
100	84192.189172	1.000000	1994300	84192.189172	1.000000	0	
100	86190.832134	1.000000	3000600	86190.832134	1.000000	0	
100	77538.943984	1.000000	3000500	77538.943984	1.000000	1000100	
100	82905.564077	1.000000	2509200	82905.564077	1.000000	999500	
100	82291.458460	1.000000	2000700	82291.458460	1.000000	0	
100	83112.141478	1.000000	3000400	83112.141478	1.000000	1000100	
100	81137.595369	1.000000	3000700	81198.551833	0.999249	0	
100	84429.661757	1.000000	3506700	84429.661757	1.000000	0	
100	81410.032803	1.000000	3003800	81410.032803	1.000000	0	
100	83332.517519	1.000000	2997900	83332.517519	1.000000	1000000	
100	88321.615831	1.000000	2601700	88321.615831	1.000000	0	
100	83924.886225	1.000000	3000300	83924.886225	1.000000	0	
100	83222.009200	1.000000	3001100	83222.009200	1.000000	0	
100	81039.204568	1.000000	3000900	81039.204568	1.000000	0	
100	85372.204966	1.000000	3000300	85372.204966	1.000000	0	
100	86234.411494	1.000000	3000900	86234.411494	1.000000	0	
100	81649.732219	1.000000	2000000	82224.615647	0.993008	1000200	
100	88023.530416	1.000000	3000600	88023.530416	1.000000	0	
100	81075.363249	1.000000	3000700	81075.363249	1.000000	0	
100	87377.407219	1.000000	3002100	87377.407219	1.000000	0	
100	81279.313723	1.000000	1999300	81279.313723	1.000000	1000100	
100	76541.458897	1.000000	2332600	76541.458897	1.000000	1000000	
100	87126.594222	1.000000	2000800	87126.594222	1.000000	0	
100	86943.469235	1.000000	3000300	88219.741975	0.985533	0	
