num_vertices	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_weighted_edge_len	greedy_weighted_edge_perc	greedy_weighted_edge_nanos	
100	85110.123933	1.000000	3066000	85653.429598	0.993657	512800	129008.357150	0.659726	3061900	
100	83315.690362	1.000000	3125600	83315.690362	1.000000	510000	110689.386385	0.752698	3081300	
100	85951.472743	1.000000	2556000	85951.472743	1.000000	502900	128645.286236	0.668128	3126300	
100	87935.680670	1.000000	2551400	87935.680670	1.000000	510900	105688.749841	0.832025	2039500	
100	84758.105078	1.000000	2001400	84758.105078	1.000000	0	108113.139149	0.783976	2999400	
100	80521.705328	1.000000	4001000	80521.705328	1.000000	0	100842.410276	0.798490	3001300	
100	84256.037492	1.000000	1999700	84256.037492	1.000000	0	128721.134078	0.654563	3000700	
100	84487.522274	1.000000	3000900	85336.823117	0.990048	0	109937.707104	0.768504	3001100	
100	79070.559070	1.000000	2999900	79070.559070	1.000000	0	115306.670096	0.685741	3000600	
100	81563.217253	1.000000	3000800	82008.509892	0.994570	0	117058.585298	0.696773	3000700	
100	83660.174129	1.000000	3000400	83660.174129	1.000000	0	120906.348821	0.691942	3000500	
100	84433.881436	1.000000	1999600	84433.881436	1.000000	0	119200.634050	0.708334	3000700	
100	85533.701871	1.000000	2000400	85533.701871	1.000000	1000700	117389.921322	0.728629	2000300	
100	79881.959281	1.000000	3000500	80060.400881	0.997771	0	104693.176979	0.763010	3001300	
100	88416.349723	1.000000	3000400	88730.307255	0.996462	0	112605.073973	0.785190	3000600	
100	92489.705374	1.000000	2000900	92489.705374	1.000000	1000200	122318.997980	0.756135	3000700	
100	83591.200137	1.000000	2000100	83631.818695	0.999514	0	114534.012022	0.729837	3000800	
100	76517.681212	1.000000	3001200	76517.681212	1.000000	0	121551.512591	0.629508	3000100	
100	83119.202293	1.000000	2000700	83119.202293	1.000000	1000100	114340.891823	0.726942	2000300	
100	84411.291933	1.000000	3001400	84558.668163	0.998257	0	119747.816727	0.704909	3000000	
100	84819.158301	1.000000	3000500	85201.629584	0.995511	0	95152.651250	0.891401	2000700	
100	79163.379741	1.000000	3000300	79556.011162	0.995065	0	139774.788624	0.566364	3000100	
100	83755.568411	1.000000	2001500	83755.568411	1.000000	1000100	112772.945358	0.742692	2000000	
100	86330.981528	1.000000	3000400	86330.981528	1.000000	0	107848.625024	0.800483	2000700	
100	78927.472984	1.000000	3000400	80038.709486	0.986116	0	105953.211032	0.744928	3000600	
100	83806.885721	1.000000	3000800	85025.987684	0.985662	0	118588.908457	0.706701	3000800	
100	83128.112937	1.000000	2000600	83128.112937	1.000000	999800	116480.009229	0.713668	3000700	
100	80451.064306	1.000000	2000500	80451.064306	1.000000	0	101200.502793	0.794967	2000400	
100	83039.224868	1.000000	3000700	83039.224868	1.000000	0	105895.316650	0.784163	2000400	
100	84784.653165	1.000000	3001400	84784.653165	1.000000	0	108139.018476	0.784034	3000100	
100	86485.011647	1.000000	2000400	86485.011647	1.000000	0	118833.690700	0.727782	3000500	
100	83793.533990	1.000000	3001200	83793.533990	1.000000	0	141840.983999	0.590757	3000600	
100	85093.519762	1.000000	4001700	85199.933956	0.998751	0	137687.173506	0.618021	2999800	
100	85231.715591	1.000000	2000300	85231.715591	1.000000	1000000	146755.395016	0.580774	3000700	
100	82627.291363	1.000000	3001300	82627.291363	1.000000	0	121828.994729	0.678224	3000900	
100	85457.236505	1.000000	1999800	85893.577413	0.994920	0	101025.581902	0.845897	3000700	
100	80283.570454	1.000000	2000300	80283.570454	1.000000	0	123619.287680	0.649442	3000700	
100	82323.697917	1.000000	3001200	82323.697917	1.000000	0	130515.865210	0.630756	3000600	
100	80212.820349	1.000000	3000400	80212.820349	1.000000	0	102704.982642	0.781002	3001300	
100	87117.515111	1.000000	1999800	87117.515111	1.000000	0	116734.533121	0.746287	3000500	
100	80902.580457	1.000000	2000500	80902.580457	1.000000	1000700	152886.526056	0.529167	3001000	
100	85415.406310	1.000000	1999900	85415.406310	1.000000	0	129631.015355	0.658912	3001200	
100	82517.961286	1.000000	2999600	82517.961286	1.000000	0	116525.741765	0.708152	3001900	
100	80015.993755	1.000000	3000200	80015.993755	1.000000	999800	115796.261338	0.691007	3000700	
100	86598.858876	1.000000	2000500	86677.729316	0.999090	1000000	134823.567099	0.642312	3000700	
100	86211.439978	1.000000	2000400	86211.439978	1.000000	0	140619.370098	0.613084	3000800	
100	88109.854194	1.000000	3038900	88109.854194	1.000000	962300	115373.184247	0.763694	2000100	
100	83516.042149	1.000000	2000500	83696.560541	0.997843	0	120544.686887	0.692822	3000800	
100	84863.518857	1.000000	3000400	85733.278666	0.989855	0	127326.128543	0.666505	3000900	
100	81203.362521	1.000000	3000700	81395.163472	0.997644	0	104851.655898	0.774460	2000300	
100	88276.420056	1.000000	3000700	88657.455731	0.995702	0	98820.358377	0.893302	2000600	
100	85276.142525	1.000000	2000000	86536.605990	0.985434	1000100	119493.836068	0.713645	2000400	
100	82609.378234	1.000000	4000800	82613.583204	0.999949	0	115406.283336	0.715814	3000900	
100	85593.027312	1.000000	2000400	85593.027312	1.000000	0	99349.757827	0.861532	3001100	
100	82812.297074	1.000000	3000100	82812.297074	1.000000	0	141127.509170	0.586791	3000700	
100	81141.399154	1.000000	3000600	81141.399154	1.000000	0	133926.690407	0.605864	3000900	
100	82396.804998	1.000000	3001600	84349.567583	0.976849	999200	106524.055129	0.773504	2000500	
100	86717.364514	1.000000	3000700	86717.364514	1.000000	0	133043.672240	0.651796	3001200	
100	85659.509154	1.000000	3000700	86486.473934	0.990438	0	128454.199955	0.666849	3000100	
100	84290.627109	1.000000	2000500	84290.627109	1.000000	1000800	162611.098936	0.518357	3000700	
100	81441.437510	1.000000	2000500	81441.437510	1.000000	999200	115456.937952	0.705384	2001000	
100	83081.775901	1.000000	3000700	83081.775901	1.000000	1000000	102016.259688	0.814397	2000600	
100	79861.196091	1.000000	3000200	79879.139743	0.999775	0	107014.223312	0.746267	3001000	
100	86467.141186	1.000000	2000600	86467.141186	1.000000	0	152986.931231	0.565193	3000600	
100	87523.261988	1.000000	3000500	88118.127838	0.993249	0	140515.617949	0.622872	3001200	
100	86764.883519	1.000000	3000200	86764.883519	1.000000	0	129111.507771	0.672015	3001600	
100	87464.016366	1.000000	3000800	87464.016366	1.000000	0	136407.717489	0.641196	3999900	
100	86549.615992	1.000000	3002000	86549.615992	1.000000	0	157071.974490	0.551019	2999400	
100	84388.271496	1.000000	2547400	84488.196560	0.998817	0	130273.005061	0.647780	2995400	
100	88807.381091	1.000000	3000900	88807.381091	1.000000	0	128553.732305	0.690819	3000500	
