greedy_len	greedy_nanos
430392.948791	115223500
429779.178230	117016800
426008.276433	119026600
422308.341163	119026000
429531.071535	114026100
429859.823105	119026800
424390.336947	120027100
427346.539096	116026400
431074.032074	118027600
427014.415200	115025000
427954.712050	124027300
425201.391390	122535700
428231.947782	123027400
424421.965340	116026200
429394.865598	116026000
422004.766814	116025600
429278.111919	125578200
431166.530003	124984600
431480.086763	130028800
426900.460393	115551500
426885.230370	116026000
430862.473976	117026200
429818.948216	114027200
429661.145483	116025700
427826.407111	115024900
429622.622269	114025000
435112.647692	118027100
427151.742372	117572500
424286.084794	113025900
431432.907825	113024700
424191.280395	117027100
430992.486836	120026900
426996.464790	113025400
427484.538788	114025600
433372.218988	123027800
427905.669998	113025000
431393.573623	114580100
430856.150044	115025900
425395.010964	121017900
430067.294255	112025200
427495.002071	118025900
427800.213144	115025300
427072.604065	116027900
427819.636211	114026200
422683.668890	117025600
428206.832868	115513000
429577.954825	116026600
418187.829699	114024800
421970.255347	115026000
430300.026527	117025700
427269.527045	119026900
423799.594559	117027200
429808.734340	112024700
426363.040917	114560200
429277.148406	117026500
427297.061529	113028500
430670.247730	116013600
423394.534077	117026600
434069.244220	115025200
430946.399678	128028600
426990.704798	116025900
423321.750069	131029400
434332.317634	114549900
425169.650012	117027200
429183.662930	127027600
425639.547796	119026800
426630.093828	124028400
420814.982731	117038500
430932.240631	113022300
420684.496737	129019400
425315.449772	112101800
425121.471124	114024700
427609.028026	116065200
432117.250847	114025600
423920.177808	112011800
424107.397752	117026700
428246.266734	115026400
425444.814212	112024700
429955.555553	114025600
425440.593410	116025900
430728.102672	119027000
424634.768089	120026800
426010.741285	115025800
427719.036102	117036000
430260.540602	117019600
427219.880410	116313900
427512.223860	118027400
426327.326306	119894900
424695.091889	114025600
425092.523096	114025900
423831.006489	117026000
430699.594300	118026100
429129.596462	115026500
423130.224281	116025900
426771.002395	118026300
431504.890603	115035600
424528.342662	111585500
425970.898874	130027900
429364.397244	113025700
425831.482783	111024500
424270.715847	116026600
431439.884776	116038200
432185.298761	117017000
427684.810782	113026000
428055.997179	119135900
424001.727607	113025400
426040.283859	113016600
427114.840073	113024700
425882.450369	113026000
426483.645619	111034300
424975.669716	114016200
424895.367392	111024800
429189.131175	112025200
424727.972153	114035200
429110.796271	114016600
421618.261216	116035100
429470.382795	116015900
431874.201893	116026700
422611.432697	113025500
421419.876058	126028100
429536.540814	116026500
422714.750734	116025300
429226.536243	114554900
432110.650918	113026100
429399.410308	116064200
424714.294139	115026100
426980.103743	117025600
431117.252297	121027700
428950.706083	120010500
428700.594368	118024100
427737.860785	113555000
429871.215066	115037700
426826.906413	111860400
428549.689213	113037500
431280.843457	116026100
425983.415759	117792300
425726.109518	115082900
431773.087972	112025200
430287.188039	114025600
432934.829270	112023200
427879.532595	115026100
425313.855440	113024700
432198.645576	114025800
426114.769678	115353100
429673.611323	121027600
431536.193266	120026700
427058.239983	118027000
433848.188317	111024800
432074.270383	116081800
426708.141816	114896200
421291.326181	116036300
425826.772323	123923500
429569.105199	120028300
429492.719660	115024800
431727.489308	129029000
425440.725120	112034800
423461.878800	122566300
427149.104071	114969600
425333.974479	115035600
427560.703060	116106400
