heap_mc_len	heap_mc_nanos	heap_mc_circuit	
37329.157703	38450800	[{"x":9162.954564035168,"y":186.6800956088837},{"x":9913.507241587191,"y":5333.032442703782},{"x":9581.945488853324,"y":6978.304636453086},{"x":8236.79810265801,"y":7185.326974461471},{"x":9307.769401999236,"y":8287.913708737378},{"x":9580.51412031325,"y":8496.52037636022},{"x":8900.277205294544,"y":9242.060950878426},{"x":6529.5115520883055,"y":9654.580680306284},{"x":6098.900481175501,"y":8755.588730771176},{"x":3997.7542794678848,"y":9040.757108522917},{"x":3546.956978669509,"y":7911.917536872946},{"x":3403.9680250253755,"y":7424.344818253951},{"x":3895.079454394974,"y":6028.578527708559},{"x":4090.270735767576,"y":4865.440572201904},{"x":2329.8185559745057,"y":5763.804782405566},{"x":2588.398609193086,"y":5134.314285940379},{"x":2616.3180835492158,"y":4745.8356226018905},{"x":3114.8377607021025,"y":4000.75173475869},{"x":3295.4961823505973,"y":3245.075339081035},{"x":2002.6535850837734,"y":2670.4870507346577},{"x":1911.528218731565,"y":556.4811578145034},{"x":4413.754625701704,"y":184.77108551661476},{"x":4998.150078878552,"y":900.3878429106898},{"x":7399.846403745787,"y":392.6867475724595},{"x":8115.632110433895,"y":890.7826376434747}]
41379.751126	457274400	[{"x":9630.988072784707,"y":84.39924611809597},{"x":9473.438609440942,"y":1132.9504215016373},{"x":8763.496988888619,"y":2527.9327573061087},{"x":9770.872590150815,"y":5994.702284159478},{"x":9605.509671635224,"y":6428.042837598946},{"x":9668.8212539808,"y":7036.220608428526},{"x":8029.519813216838,"y":8737.285610537601},{"x":8076.337683304982,"y":9750.968968561205},{"x":6802.383534580844,"y":9442.951785689951},{"x":5498.055908571643,"y":8760.774229189383},{"x":5075.399285321156,"y":9721.03152005873},{"x":3252.9150842659556,"y":9204.50398643923},{"x":2126.650190265416,"y":9162.622548070076},{"x":1063.274489980936,"y":8197.511840648756},{"x":667.9583052933287,"y":8457.9512663317},{"x":75.75625676086442,"y":7008.568064949391},{"x":962.0431197916671,"y":3589.7134114454175},{"x":3103.413411388538,"y":2897.504377328907},{"x":2585.451184007478,"y":5319.156683679943},{"x":3470.453107317519,"y":6429.343984787615},{"x":3967.217831174106,"y":5597.726551492305},{"x":6793.859116622485,"y":5066.409776138607},{"x":7279.981151051642,"y":5250.401947287862},{"x":8081.471330602115,"y":4852.759653532912},{"x":8003.687040019111,"y":1774.1955724508284}]
40606.621291	587247100	[{"x":6686.409329594079,"y":9757.366668676374},{"x":4338.098244170058,"y":9084.29720767165},{"x":2973.856510469806,"y":8650.913871170349},{"x":1589.666540892436,"y":9018.14912101491},{"x":1334.6192467387848,"y":7624.07541289628},{"x":1120.507935888427,"y":7515.171528255568},{"x":296.7304907174866,"y":7725.9890698555755},{"x":348.7545028912166,"y":6234.744452484539},{"x":932.6784649061968,"y":3849.9470790991686},{"x":1160.3903061694562,"y":888.2362640757996},{"x":2229.7827519614225,"y":351.2612533447322},{"x":2355.761933045119,"y":717.7326921433493},{"x":3727.6367264989567,"y":1958.178968995291},{"x":4450.4648232155305,"y":1132.6096457420783},{"x":5249.786333535522,"y":364.1035720750342},{"x":7338.004947381889,"y":2020.5641032701703},{"x":5791.358722893556,"y":2143.988571800072},{"x":3798.4019533750884,"y":2960.715400676545},{"x":4661.309457507343,"y":3982.511253522424},{"x":3376.650417671094,"y":5541.501427102973},{"x":2710.4183746391163,"y":5506.369430710357},{"x":3506.132588961273,"y":6452.022701576937},{"x":4637.943698139811,"y":5476.957394438325},{"x":5916.121406466505,"y":6260.300455803482},{"x":7709.95756548843,"y":6089.030333894422}]
41934.928795	657581000	[{"x":9889.564795477638,"y":765.7484244745605},{"x":9178.096551826386,"y":1095.557651290944},{"x":8831.771365728016,"y":1691.3364421339713},{"x":6578.197662317741,"y":3984.7402887274284},{"x":5049.612927182941,"y":6025.99902296316},{"x":5265.28872662446,"y":6771.919338646995},{"x":7644.513145702511,"y":8184.031920764464},{"x":7916.461495099175,"y":8049.8338241160545},{"x":9465.806539090958,"y":8524.445953335979},{"x":7029.636714740232,"y":8965.701411530232},{"x":4207.0235668801915,"y":8739.412500480586},{"x":1277.09703924782,"y":9564.332820114194},{"x":835.8765095036428,"y":8494.686076872873},{"x":1990.8388774885213,"y":6043.20350473807},{"x":2345.6227242884443,"y":5803.8383673698645},{"x":1367.0146921954133,"y":5114.070603587584},{"x":2899.3152943037962,"y":4427.464970780805},{"x":3135.7821711591623,"y":3620.963864116849},{"x":1798.1104074035422,"y":2280.0890900288155},{"x":2266.879786308339,"y":1669.853580131871},{"x":2021.6156086069925,"y":865.0326233453912},{"x":1730.1141954487427,"y":762.9130870018056},{"x":1876.6722910566637,"y":144.7007958182151},{"x":4271.1758233763885,"y":1367.442312119984},{"x":8726.466232895575,"y":508.8310788860619}]
36805.308665	5834327300	[{"x":426.9140800649625,"y":7667.433502463995},{"x":4568.597809925714,"y":4001.4639951115255},{"x":3589.0978037648874,"y":3549.1933270871614},{"x":830.0894343098681,"y":2291.5767842351424},{"x":666.59040212198,"y":1788.1331535950776},{"x":1048.179768054437,"y":1909.8571958154182},{"x":2139.3676329013692,"y":1818.6607993619878},{"x":3325.8383282737086,"y":220.37308454630357},{"x":3348.370624669069,"y":254.53207152348244},{"x":5196.335223126366,"y":1580.527260914994},{"x":5351.670501241396,"y":1412.6909667362042},{"x":6385.777396658491,"y":620.9726425647422},{"x":8167.055966270138,"y":1483.0237901714627},{"x":7432.382217328553,"y":4474.185057558472},{"x":8109.281312278067,"y":4374.784654705082},{"x":9192.810838317322,"y":5449.385524168167},{"x":8490.67707135616,"y":5971.987438496292},{"x":7719.619587451048,"y":5693.811004464098},{"x":5993.261214823649,"y":7145.620214141179},{"x":6450.248878636427,"y":8004.957234059419},{"x":5937.09173464651,"y":8051.538251994164},{"x":5268.823065836945,"y":7946.160595422026},{"x":4199.544981147029,"y":9074.03891454688},{"x":2689.1910704249212,"y":8782.837554210566},{"x":2412.3220282921197,"y":9065.654258295615}]
43697.156644	2182540000	[{"x":9019.774277763801,"y":9770.212065033536},{"x":6476.759056508567,"y":9369.491182588332},{"x":5274.412172610227,"y":8971.331248686882},{"x":2953.772832589602,"y":7201.578719854882},{"x":472.95588025548005,"y":8563.762560702453},{"x":259.9685245870809,"y":3483.931536200006},{"x":1777.3335438081417,"y":3933.978350369984},{"x":2255.4470209718297,"y":1945.4285357793624},{"x":3978.9678740731,"y":1775.470959089928},{"x":3990.991544177087,"y":1090.5777486794307},{"x":4011.424732391357,"y":1043.0139166376598},{"x":5979.688820039146,"y":486.71644873056476},{"x":7090.954965303149,"y":1285.2016968989594},{"x":7607.289052988552,"y":1013.8628908960923},{"x":8277.505588387505,"y":178.9846847496256},{"x":8740.247119123302,"y":969.5275653220639},{"x":7690.624925725014,"y":1790.3557209014662},{"x":8324.877975010626,"y":3946.5405219957906},{"x":7094.3187642243365,"y":3722.5683350104787},{"x":5174.217540739029,"y":3684.115944949108},{"x":3810.907611741862,"y":3760.518196993042},{"x":4358.551058822528,"y":4853.222047258061},{"x":4963.490280001184,"y":4870.687801948432},{"x":6242.833906273905,"y":6281.086346499871},{"x":6005.498422447137,"y":7698.3688817855245}]
42709.329551	193371300	[{"x":9481.596537404277,"y":9773.401755787445},{"x":8465.970360409383,"y":9940.333471241574},{"x":6609.471494970626,"y":9321.33442312322},{"x":5882.221835898179,"y":9988.622093374695},{"x":4502.443985556369,"y":6818.628724311857},{"x":1863.7229871340685,"y":5538.189956772741},{"x":648.2717552968771,"y":6489.3572593195195},{"x":336.25126007876406,"y":6262.037040757231},{"x":115.98298138695566,"y":4829.389547178748},{"x":226.12268011284425,"y":4473.634437827925},{"x":1714.4624658098787,"y":4137.8491870326825},{"x":915.9256955925597,"y":2231.073867682188},{"x":3293.4730539387274,"y":158.0856053981736},{"x":3864.0324994616435,"y":997.2432536725172},{"x":4121.376774145335,"y":913.3441390899975},{"x":6280.532806238777,"y":1233.1572519091594},{"x":8228.917123995889,"y":822.2281194533873},{"x":9477.252148642006,"y":3709.6847034559914},{"x":6832.441285292903,"y":3156.8456462507916},{"x":6285.138026528095,"y":3149.3298183110674},{"x":5585.381094441277,"y":4556.828014753225},{"x":6947.929212030452,"y":6376.334418122412},{"x":8021.311129575071,"y":5355.501193374647},{"x":8458.082030231619,"y":6756.759613476766},{"x":8920.566562620628,"y":8564.279579152768}]
41584.441890	4939269500	[{"x":805.1471722849436,"y":2175.051909783803},{"x":2385.633404463602,"y":2764.8346425740265},{"x":2677.908342214201,"y":3459.1233264903594},{"x":5061.620314400656,"y":4963.844423357128},{"x":5583.904173213967,"y":3587.4799937166467},{"x":5237.504001700415,"y":446.3257397308357},{"x":6959.387139294341,"y":496.3788586532786},{"x":7243.80206998426,"y":716.2486177328711},{"x":7682.76805034276,"y":4184.521553613569},{"x":8216.373782592034,"y":3360.0891298783927},{"x":9498.232740833366,"y":3385.1549186937586},{"x":9675.85724883563,"y":4929.675193398298},{"x":8659.417507134081,"y":7728.948220306204},{"x":7607.670524645488,"y":8534.198717900183},{"x":6907.741613433232,"y":7137.59123054177},{"x":6796.110706841642,"y":7718.40091332473},{"x":5630.971304248475,"y":8975.626563174366},{"x":6100.7905359586575,"y":9290.027609459059},{"x":5371.482288211548,"y":9955.466881063025},{"x":4851.458621246901,"y":9487.706463392375},{"x":2334.8003811496355,"y":9309.827801526239},{"x":1394.7457564849256,"y":9567.453001651973},{"x":2680.461509027322,"y":6569.677676641914},{"x":2018.657858676832,"y":6446.807549643001},{"x":1160.403953694822,"y":3494.5794972839544}]
38543.793886	299465200	[{"x":9632.435238068372,"y":6378.927801130022},{"x":8670.78506512409,"y":7586.912700948497},{"x":6764.47326933867,"y":7557.416246226928},{"x":5264.931003805108,"y":7979.937196043449},{"x":5446.940894504088,"y":7053.863935944462},{"x":4156.200131445422,"y":6662.737826410505},{"x":2029.5514234935224,"y":8506.371682240917},{"x":1982.1163389446203,"y":8427.59508105815},{"x":2176.7262121929452,"y":5897.106608320955},{"x":1824.1167101564854,"y":5832.797863740645},{"x":42.12147885805849,"y":5193.155850778269},{"x":1307.4452417606735,"y":4396.676802024991},{"x":2346.814754290219,"y":4682.445205188343},{"x":2191.1591020520514,"y":4946.269521684912},{"x":3290.29266284897,"y":5655.831508956132},{"x":3965.851789322733,"y":4075.745593421452},{"x":4405.309987894544,"y":2627.8169850737563},{"x":3442.1238853906902,"y":2662.9485710687172},{"x":1710.7476836239894,"y":2101.106275304228},{"x":1016.6330255494889,"y":1488.984473651493},{"x":2034.6959656801375,"y":796.7199009712043},{"x":5377.787588137991,"y":1444.578666413931},{"x":7299.78341194358,"y":1346.961500813199},{"x":7087.299165638597,"y":2644.6691546614766},{"x":7431.235017984714,"y":3469.2663805289358}]
42458.930370	1501742800	[{"x":1460.7784558886253,"y":9696.851853774731},{"x":640.6299831458307,"y":8219.843599977397},{"x":1774.6952771492863,"y":6859.183464222364},{"x":1344.452518753846,"y":6422.406576970262},{"x":774.0876365339145,"y":2726.205929946703},{"x":80.62650604081416,"y":740.2117939331293},{"x":1069.923815008295,"y":1458.9502497895207},{"x":3995.4084505478068,"y":860.7047148723726},{"x":4534.347653918029,"y":679.7724593091964},{"x":3835.4853380184704,"y":2632.786493385945},{"x":4634.225664223273,"y":3084.414129381556},{"x":5699.615052354662,"y":3685.8124689994997},{"x":5385.9186779187485,"y":4561.273893591685},{"x":5730.605378992293,"y":5522.23246627494},{"x":7273.171298285738,"y":4539.966105009883},{"x":8307.262408237337,"y":3411.13772490746},{"x":8359.214933073157,"y":2651.627784791007},{"x":8595.609489991273,"y":62.77583052796722},{"x":9144.778014379572,"y":2392.1618729535253},{"x":8254.641086297634,"y":4627.314190016138},{"x":7788.5747915483325,"y":5606.780479557416},{"x":7273.636375020071,"y":6319.434245123119},{"x":6693.800305223514,"y":8751.455115485163},{"x":5959.3356486845605,"y":8450.243918319804},{"x":2313.2189103441497,"y":8936.905587378476}]
