num_vertices	np_len	np_perc	np_nanos	np_heap_len	np_heap_perc	np_heap_nanos	greedy_len	greedy_perc	greedy_nanos	
7	13890.738242	1.000000	16385200	13890.738242	1.000000	5605200	13890.738242	1.000000	0	
7	24582.955921	1.000000	13565800	24582.955921	1.000000	7001300	24582.955921	1.000000	0	
7	32894.520159	1.000000	16003200	32894.520159	1.000000	6001300	32894.520159	1.000000	0	
7	24433.683660	1.000000	15003300	24433.683660	1.000000	3000900	24433.683660	1.000000	0	
7	21101.608008	1.000000	14002700	21101.608008	1.000000	4001400	21101.608008	1.000000	0	
7	36824.066305	1.000000	18003700	36824.066305	1.000000	8003400	36824.066305	1.000000	0	
7	21577.757371	1.000000	14002800	21577.757371	1.000000	4000900	21577.757371	1.000000	0	
7	30232.859604	1.000000	14004000	30232.859604	1.000000	6001400	30232.859604	1.000000	0	
7	25415.550273	1.000000	14003300	25415.550273	1.000000	4000600	25415.550273	1.000000	0	
7	14398.003480	1.000000	13003000	14398.003480	1.000000	6001000	14398.003480	1.000000	0	
7	27510.397920	1.000000	14003000	27510.397920	1.000000	5001400	27510.397920	1.000000	0	
7	25268.716714	1.000000	17004000	25268.716714	1.000000	7002400	28134.996012	0.898124	0	
7	19579.858212	1.000000	13001800	19579.858212	1.000000	7001600	19579.858212	1.000000	0	
7	28486.712951	1.000000	14003800	28486.712951	1.000000	7002100	28486.712951	1.000000	0	
7	14711.798089	1.000000	14002200	14711.798089	1.000000	4000900	14711.798089	1.000000	0	
7	24866.968317	1.000000	13002600	24866.968317	1.000000	5001100	24866.968317	1.000000	0	
7	19674.983171	1.000000	15004400	19674.983171	1.000000	5000100	19674.983171	1.000000	0	
7	36572.250791	1.000000	14004400	36572.250791	1.000000	6000700	38755.517198	0.943666	0	
7	28147.404070	1.000000	13002000	28147.404070	1.000000	4000900	28147.404070	1.000000	0	
7	38615.995413	1.000000	13002600	38615.995413	1.000000	6001900	38615.995413	1.000000	0	
7	17437.489102	1.000000	11003200	17437.489102	1.000000	5000500	17437.489102	1.000000	0	
7	31317.542740	1.000000	16018300	31317.542740	1.000000	7998900	31317.542740	1.000000	0	
7	22962.005311	1.000000	14003300	22962.005311	1.000000	3000600	22962.005311	1.000000	0	
7	26116.480998	1.000000	12993700	26116.480998	1.000000	7010800	26116.480998	1.000000	0	
7	37242.543041	1.000000	14993700	37242.543041	1.000000	4001400	37546.499473	0.991905	0	
7	28099.987639	1.000000	14003600	28099.987639	1.000000	6000400	28099.987639	1.000000	0	
7	24133.527329	1.000000	13003400	24133.527329	1.000000	6001200	24133.527329	1.000000	0	
7	18457.583358	1.000000	18003900	18457.583358	1.000000	9002000	18457.583358	1.000000	0	
7	37507.383049	1.000000	18004000	37507.383049	1.000000	6002900	39525.918998	0.948931	0	
7	25937.143120	1.000000	17002400	25937.143120	1.000000	7001700	25937.143120	1.000000	0	
7	20904.592089	1.000000	15003200	20904.592089	1.000000	4000800	20904.592089	1.000000	0	
7	31283.077330	1.000000	12003000	31283.077330	1.000000	4001000	35500.195230	0.881209	0	
7	27736.835187	1.000000	14003100	27736.835187	1.000000	5001300	30980.058985	0.895313	0	
7	28280.451334	1.000000	16003500	28280.451334	1.000000	5001600	28280.451334	1.000000	0	
7	38823.394942	1.000000	15003200	38823.394942	1.000000	8001300	39817.253856	0.975039	0	
7	19116.116780	1.000000	13003700	19116.116780	1.000000	2999900	19116.116780	1.000000	0	
7	8641.017832	1.000000	14003300	8641.017832	1.000000	4000900	8641.017832	1.000000	0	
