num_vertices	np_heap_len	np_heap_perc	np_heap_nanos	greedy_len	greedy_perc	greedy_nanos	
7	20080.388324	1.000000	5643300	20080.388324	1.000000	0	
7	23843.579110	1.000000	6643400	23843.579110	1.000000	0	
7	31613.491392	1.000000	8203700	32202.386072	0.981713	0	
7	24748.679837	1.000000	7085100	24748.679837	1.000000	1000300	
7	28622.265343	1.000000	7001300	28622.265343	1.000000	0	
7	12165.650240	1.000000	6001500	12165.650240	1.000000	0	
7	27938.354934	1.000000	5001200	27938.354934	1.000000	0	
7	22515.108651	1.000000	4000700	22515.108651	1.000000	0	
7	26555.596563	1.000000	6001200	26555.596563	1.000000	0	
7	28617.707032	1.000000	4000900	28617.707032	1.000000	0	
7	27483.934290	1.000000	6002000	30420.511280	0.903467	0	
7	24184.661792	1.000000	7001200	24184.661792	1.000000	0	
7	13265.707727	1.000000	4001700	13265.707727	1.000000	0	
7	33176.110411	1.000000	7001000	33176.110411	1.000000	0	
7	13594.476737	1.000000	5000700	13594.476737	1.000000	0	
7	22470.073760	1.000000	6001800	22470.073760	1.000000	0	
7	19615.419963	1.000000	8024100	19615.419963	1.000000	0	
7	16428.195469	1.000000	6006400	16428.195469	1.000000	0	
7	16978.892184	1.000000	7007000	16978.892184	1.000000	0	
7	30986.801755	1.000000	4000900	30986.801755	1.000000	0	
7	22847.525365	1.000000	5001200	22847.525365	1.000000	0	
7	41060.086216	1.000000	5002500	41060.086216	1.000000	0	
7	12780.715895	1.000000	5000200	12780.715895	1.000000	0	
7	28590.296895	1.000000	7001700	28590.296895	1.000000	0	
7	24516.157061	1.000000	4000500	24516.157061	1.000000	0	
7	15143.840078	1.000000	4000900	15143.840078	1.000000	0	
7	26536.713323	1.000000	4002100	26536.713323	1.000000	0	
7	23898.992241	1.000000	5000600	23898.992241	1.000000	0	
7	19575.160211	1.000000	5000600	19575.160211	1.000000	0	
7	15736.969885	1.000000	4001100	15736.969885	1.000000	0	
7	32632.091622	1.000000	7001000	33533.972239	0.973105	0	
7	14594.143806	1.000000	5002100	14594.143806	1.000000	0	
7	33446.559868	1.000000	4000600	33446.559868	1.000000	0	
7	36687.122168	1.000000	5000800	36687.122168	1.000000	0	
7	20192.716547	1.000000	9002200	20192.716547	1.000000	0	
7	18835.286415	1.000000	8002100	18835.286415	1.000000	0	
7	37616.228638	1.000000	4001100	37616.228638	1.000000	0	
7	35892.618160	1.000000	7000900	35892.618160	1.000000	0	
7	20789.802685	1.000000	6000900	20789.802685	1.000000	0	
7	9728.787818	1.000000	9002700	9728.787818	1.000000	0	
7	20644.416324	1.000000	7000900	20644.416324	1.000000	0	
7	28408.427368	1.000000	8001400	28408.427368	1.000000	0	
7	25014.080664	1.000000	4001000	25014.080664	1.000000	999900	
7	32149.690929	1.000000	3001400	32149.690929	1.000000	0	
7	26044.737912	1.000000	7001400	26433.751052	0.985283	0	
7	29054.786429	1.000000	3001300	29054.786429	1.000000	0	
7	26760.994392	1.000000	7001100	26760.994392	1.000000	0	
7	26065.122446	1.000000	5001000	26065.122446	1.000000	0	
7	18410.198172	1.000000	8001600	18410.198172	1.000000	0	
7	23684.260276	1.000000	7001600	23684.260276	1.000000	0	
7	24728.971002	1.000000	6001300	24728.971002	1.000000	0	
7	11073.914052	1.000000	9002600	11073.914052	1.000000	0	
7	21001.122077	1.000000	6000900	21001.122077	1.000000	0	
7	28825.125630	1.000000	8001700	28825.125630	1.000000	0	
7	20772.369164	1.000000	5001600	20772.369164	1.000000	0	
7	40336.194606	1.000000	4000700	40336.194606	1.000000	0	
7	24317.673210	1.000000	5001000	24317.673210	1.000000	0	
7	25761.631213	1.000000	4001300	25761.631213	1.000000	0	
7	7689.782422	1.000000	6001500	7689.782422	1.000000	0	
7	27346.670724	1.000000	3000400	27346.670724	1.000000	0	
7	24349.219672	1.000000	7001500	24349.219672	1.000000	0	
7	20061.913387	1.000000	6001800	20061.913387	1.000000	0	
7	27091.773090	1.000000	3000600	27095.470169	0.999864	0	
7	20124.139468	1.000000	6001700	20124.139468	1.000000	0	
7	29073.651768	1.000000	5000500	29073.651768	1.000000	0	
7	35060.735832	1.000000	8034300	36375.714269	0.963850	0	
7	18353.783606	1.000000	5968500	18353.783606	1.000000	0	
7	31091.956004	1.000000	7001700	31091.956004	1.000000	0	
7	36424.824124	1.000000	5001000	36424.824124	1.000000	0	
7	31009.263012	1.000000	7001600	31009.263012	1.000000	0	
7	29529.545133	1.000000	3001400	29529.545133	1.000000	0	
7	19477.657809	1.000000	3000700	19477.657809	1.000000	0	
7	25422.287186	1.000000	6001600	25422.287186	1.000000	0	
7	35953.654660	1.000000	4000700	35953.654660	1.000000	0	
7	22913.721916	1.000000	10002000	22913.721916	1.000000	0	
7	19348.051848	1.000000	3000700	19348.051848	1.000000	0	
7	22074.281596	1.000000	6001500	22074.281596	1.000000	0	
7	26963.621588	1.000000	6001600	26963.621588	1.000000	0	
7	24551.368688	1.000000	7001000	25963.354021	0.945616	1001000	
7	44317.576849	1.000000	9001400	44317.576849	1.000000	0	
7	32661.271011	1.000000	8002200	32661.271011	1.000000	1000200	
7	23437.716438	1.000000	5001000	23437.716438	1.000000	0	
7	34210.318302	1.000000	5000800	34210.318302	1.000000	0	
7	38106.118757	1.000000	7001700	38106.118757	1.000000	1000700	
7	28187.038831	1.000000	7001400	28187.038831	1.000000	0	
7	21122.081312	1.000000	7001400	21122.081312	1.000000	0	
7	34554.357140	1.000000	7001600	34554.357140	1.000000	0	
7	41911.946857	1.000000	7002000	44810.764801	0.935310	0	
7	18698.139292	1.000000	7000900	18698.139292	1.000000	0	
7	35726.496779	1.000000	5001000	35726.496779	1.000000	0	
7	35850.944224	1.000000	7002400	35850.944224	1.000000	0	
7	25688.604539	1.000000	6000800	25849.472942	0.993777	0	
7	32772.997673	1.000000	4000900	33834.461332	0.968628	0	
7	27965.055980	1.000000	5001400	27965.055980	1.000000	0	
7	24656.198315	1.000000	6001100	24656.198315	1.000000	0	
7	24116.819983	1.000000	6001600	24116.819983	1.000000	1000100	
7	35298.366197	1.000000	3000800	35298.366197	1.000000	0	
7	27305.813855	1.000000	5000900	27781.636770	0.982873	0	
7	10867.629704	1.000000	5001700	10867.629704	1.000000	999500	
7	25353.386938	1.000000	5001300	25353.386938	1.000000	0	
8	23170.802716	1.000000	23004500	23170.802716	1.000000	0	
8	21301.869145	1.000000	25005900	21301.869145	1.000000	0	
8	13753.567369	1.000000	26006000	13753.567369	1.000000	0	
8	15987.443551	1.000000	25006200	15987.443551	1.000000	0	
8	21623.824262	1.000000	55012200	21623.824262	1.000000	0	
8	19996.164114	1.000000	45009500	19996.164114	1.000000	1000200	
8	36758.520733	1.000000	59013700	36758.520733	1.000000	0	
8	21553.064218	1.000000	23005600	21553.064218	1.000000	1000700	
8	33575.010730	1.000000	34006400	33575.010730	1.000000	1000200	
8	23764.152098	1.000000	29007700	23764.152098	1.000000	0	
8	38826.352317	1.000000	24004700	38826.352317	1.000000	0	
8	38919.657135	1.000000	25005800	38919.657135	1.000000	0	
8	39944.160777	1.000000	34008400	39944.160777	1.000000	0	
8	34296.704805	1.000000	29006500	34296.704805	1.000000	0	
8	26988.834606	1.000000	29006000	26988.834606	1.000000	1000600	
8	44480.978049	1.000000	35556000	44480.978049	1.000000	0	
8	19903.413972	1.000000	39009800	19903.413972	1.000000	0	
8	21680.801616	1.000000	60012300	21680.801616	1.000000	0	
8	43223.490153	1.000000	15003300	43223.490153	1.000000	0	
8	33925.275054	1.000000	24005900	36798.227858	0.921927	0	
8	31528.544216	1.000000	37009000	31528.544216	1.000000	0	
8	41780.950874	1.000000	29005400	43491.124859	0.960678	0	
8	41688.136988	1.000000	69015400	41688.136988	1.000000	0	
8	36582.410021	1.000000	23006100	36582.410021	1.000000	0	
8	29769.699271	1.000000	32006400	30309.139865	0.982202	0	
8	22571.364550	1.000000	22005100	22571.364550	1.000000	0	
8	48775.117916	1.000000	39008800	50579.889439	0.964318	0	
8	22444.542330	1.000000	46010300	24536.284909	0.914749	0	
8	45211.446142	1.000000	54015300	45211.446142	1.000000	0	
8	47471.277860	1.000000	70012400	48829.613275	0.972182	0	
8	32962.791978	1.000000	12002700	32962.791978	1.000000	0	
8	21460.460101	1.000000	24005900	21460.460101	1.000000	0	
8	32026.534467	1.000000	34007300	35360.997811	0.905702	0	
8	28345.210491	1.000000	17004200	30611.189035	0.925975	0	
8	50379.376657	1.000000	17003300	50379.376657	1.000000	0	
8	43174.043632	1.000000	31008100	50005.335973	0.863389	1000000	
8	26315.377147	1.000000	62014700	26864.473234	0.979561	0	
8	38815.474041	1.000000	38007300	38815.474041	1.000000	0	
8	31530.481295	1.000000	43010200	31530.481295	1.000000	0	
8	25489.055002	1.000000	47010300	25489.055002	1.000000	0	
8	31529.906449	1.000000	22005300	34550.151853	0.912584	0	
8	28945.461073	1.000000	35008500	28945.461073	1.000000	0	
8	32813.391925	1.000000	39008100	32813.391925	1.000000	0	
